BRC Query: Medium,Points,# Of Points
"[20, 19, 26, 25]","[(20, 19), (21, 19), (22, 19), (23, 19), (20, 20), (20, 21), (21, 20), (21, 21), (20, 22), (20, 23), (21, 22), (21, 23), (22, 20), (22, 21), (23, 20), (23, 21), (22, 22), (22, 23), (23, 22), (23, 23), (20, 24), (20, 25), (21, 24), (21, 25), (22, 24), (22, 25), (23, 24), (23, 25), (24, 19), (25, 19), (26, 19), (24, 20), (24, 21), (25, 20), (25, 21), (24, 22), (24, 23), (25, 22), (25, 23), (26, 20), (26, 21), (26, 22), (26, 23), (24, 24), (24, 25), (25, 24), (25, 25), (26, 24), (26, 25)]",49
"[25, 25, 31, 31]","[(25, 25), (25, 26), (25, 27), (26, 25), (27, 25), (26, 26), (26, 27), (27, 26), (27, 27), (25, 28), (25, 29), (25, 30), (25, 31), (26, 28), (26, 29), (27, 28), (27, 29), (26, 30), (26, 31), (27, 30), (27, 31), (28, 25), (29, 25), (28, 26), (28, 27), (29, 26), (29, 27), (30, 25), (31, 25), (30, 26), (30, 27), (31, 26), (31, 27), (28, 28), (28, 29), (29, 28), (29, 29), (28, 30), (28, 31), (29, 30), (29, 31), (30, 28), (30, 29), (31, 28), (31, 29), (30, 30), (30, 31), (31, 30), (31, 31)]",49
"[24, 7, 30, 13]","[(24, 7), (25, 7), (26, 7), (27, 7), (28, 7), (29, 7), (30, 7), (24, 8), (24, 9), (25, 8), (25, 9), (24, 10), (24, 11), (25, 10), (25, 11), (26, 8), (26, 9), (27, 8), (27, 9), (26, 10), (26, 11), (27, 10), (27, 11), (24, 12), (24, 13), (25, 12), (25, 13), (26, 12), (26, 13), (27, 12), (27, 13), (28, 8), (28, 9), (29, 8), (29, 9), (28, 10), (28, 11), (29, 10), (29, 11), (30, 8), (30, 9), (30, 10), (30, 11), (28, 12), (28, 13), (29, 12), (29, 13), (30, 12), (30, 13)]",49
"[0, 11, 6, 17]","[(0, 11), (1, 11), (2, 11), (3, 11), (0, 12), (0, 13), (1, 12), (1, 13), (0, 14), (0, 15), (1, 14), (1, 15), (2, 12), (2, 13), (3, 12), (3, 13), (2, 14), (2, 15), (3, 14), (3, 15), (4, 11), (5, 11), (6, 11), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (4, 15), (5, 14), (5, 15), (6, 12), (6, 13), (6, 14), (6, 15), (0, 16), (0, 17), (1, 16), (1, 17), (2, 16), (2, 17), (3, 16), (3, 17), (4, 16), (4, 17), (5, 16), (5, 17), (6, 16), (6, 17)]",49
"[16, 5, 22, 11]","[(16, 5), (17, 5), (16, 6), (16, 7), (17, 6), (17, 7), (18, 5), (19, 5), (18, 6), (18, 7), (19, 6), (19, 7), (20, 5), (21, 5), (20, 6), (20, 7), (21, 6), (21, 7), (22, 5), (22, 6), (22, 7), (16, 8), (16, 9), (17, 8), (17, 9), (16, 10), (16, 11), (17, 10), (17, 11), (18, 8), (18, 9), (19, 8), (19, 9), (18, 10), (18, 11), (19, 10), (19, 11), (20, 8), (20, 9), (21, 8), (21, 9), (20, 10), (20, 11), (21, 10), (21, 11), (22, 8), (22, 9), (22, 10), (22, 11)]",49
"[21, 6, 27, 12]","[(21, 6), (21, 7), (22, 6), (22, 7), (23, 6), (23, 7), (21, 8), (21, 9), (21, 10), (21, 11), (22, 8), (22, 9), (23, 8), (23, 9), (22, 10), (22, 11), (23, 10), (23, 11), (21, 12), (22, 12), (23, 12), (24, 6), (24, 7), (25, 6), (25, 7), (26, 6), (26, 7), (27, 6), (27, 7), (24, 8), (24, 9), (25, 8), (25, 9), (24, 10), (24, 11), (25, 10), (25, 11), (26, 8), (26, 9), (27, 8), (27, 9), (26, 10), (26, 11), (27, 10), (27, 11), (24, 12), (25, 12), (26, 12), (27, 12)]",49
"[20, 11, 26, 17]","[(20, 11), (21, 11), (22, 11), (23, 11), (20, 12), (20, 13), (21, 12), (21, 13), (20, 14), (20, 15), (21, 14), (21, 15), (22, 12), (22, 13), (23, 12), (23, 13), (22, 14), (22, 15), (23, 14), (23, 15), (24, 11), (25, 11), (26, 11), (24, 12), (24, 13), (25, 12), (25, 13), (24, 14), (24, 15), (25, 14), (25, 15), (26, 12), (26, 13), (26, 14), (26, 15), (20, 16), (20, 17), (21, 16), (21, 17), (22, 16), (22, 17), (23, 16), (23, 17), (24, 16), (24, 17), (25, 16), (25, 17), (26, 16), (26, 17)]",49
"[20, 22, 26, 28]","[(20, 22), (20, 23), (21, 22), (21, 23), (22, 22), (22, 23), (23, 22), (23, 23), (20, 24), (20, 25), (21, 24), (21, 25), (20, 26), (20, 27), (21, 26), (21, 27), (22, 24), (22, 25), (23, 24), (23, 25), (22, 26), (22, 27), (23, 26), (23, 27), (20, 28), (21, 28), (22, 28), (23, 28), (24, 22), (24, 23), (25, 22), (25, 23), (26, 22), (26, 23), (24, 24), (24, 25), (25, 24), (25, 25), (24, 26), (24, 27), (25, 26), (25, 27), (26, 24), (26, 25), (26, 26), (26, 27), (24, 28), (25, 28), (26, 28)]",49
"[15, 0, 21, 6]","[(15, 0), (15, 1), (15, 2), (15, 3), (15, 4), (15, 5), (15, 6), (16, 0), (16, 1), (17, 0), (17, 1), (16, 2), (16, 3), (17, 2), (17, 3), (18, 0), (18, 1), (19, 0), (19, 1), (18, 2), (18, 3), (19, 2), (19, 3), (16, 4), (16, 5), (17, 4), (17, 5), (16, 6), (17, 6), (18, 4), (18, 5), (19, 4), (19, 5), (18, 6), (19, 6), (20, 0), (20, 1), (21, 0), (21, 1), (20, 2), (20, 3), (21, 2), (21, 3), (20, 4), (20, 5), (21, 4), (21, 5), (20, 6), (21, 6)]",49
"[23, 23, 29, 29]","[(23, 23), (23, 24), (23, 25), (23, 26), (23, 27), (23, 28), (23, 29), (24, 23), (25, 23), (26, 23), (27, 23), (28, 23), (29, 23), (24, 24), (24, 25), (25, 24), (25, 25), (24, 26), (24, 27), (25, 26), (25, 27), (26, 24), (26, 25), (27, 24), (27, 25), (26, 26), (26, 27), (27, 26), (27, 27), (24, 28), (24, 29), (25, 28), (25, 29), (26, 28), (26, 29), (27, 28), (27, 29), (28, 24), (28, 25), (29, 24), (29, 25), (28, 26), (28, 27), (29, 26), (29, 27), (28, 28), (28, 29), (29, 28), (29, 29)]",49
"[7, 18, 13, 24]","[(7, 18), (7, 19), (7, 20), (7, 21), (7, 22), (7, 23), (7, 24), (8, 18), (8, 19), (9, 18), (9, 19), (10, 18), (10, 19), (11, 18), (11, 19), (8, 20), (8, 21), (9, 20), (9, 21), (8, 22), (8, 23), (9, 22), (9, 23), (10, 20), (10, 21), (11, 20), (11, 21), (10, 22), (10, 23), (11, 22), (11, 23), (12, 18), (12, 19), (13, 18), (13, 19), (12, 20), (12, 21), (13, 20), (13, 21), (12, 22), (12, 23), (13, 22), (13, 23), (8, 24), (9, 24), (10, 24), (11, 24), (12, 24), (13, 24)]",49
"[7, 8, 13, 14]","[(7, 8), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (7, 14), (8, 8), (8, 9), (9, 8), (9, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (10, 11), (11, 10), (11, 11), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (9, 14), (10, 12), (10, 13), (11, 12), (11, 13), (10, 14), (11, 14), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (12, 11), (13, 10), (13, 11), (12, 12), (12, 13), (13, 12), (13, 13), (12, 14), (13, 14)]",49
"[5, 24, 11, 30]","[(5, 24), (5, 25), (5, 26), (5, 27), (6, 24), (6, 25), (7, 24), (7, 25), (6, 26), (6, 27), (7, 26), (7, 27), (5, 28), (5, 29), (5, 30), (6, 28), (6, 29), (7, 28), (7, 29), (6, 30), (7, 30), (8, 24), (8, 25), (9, 24), (9, 25), (8, 26), (8, 27), (9, 26), (9, 27), (10, 24), (10, 25), (11, 24), (11, 25), (10, 26), (10, 27), (11, 26), (11, 27), (8, 28), (8, 29), (9, 28), (9, 29), (8, 30), (9, 30), (10, 28), (10, 29), (11, 28), (11, 29), (10, 30), (11, 30)]",49
"[13, 2, 19, 8]","[(13, 2), (13, 3), (14, 2), (14, 3), (15, 2), (15, 3), (13, 4), (13, 5), (13, 6), (13, 7), (14, 4), (14, 5), (15, 4), (15, 5), (14, 6), (14, 7), (15, 6), (15, 7), (13, 8), (14, 8), (15, 8), (16, 2), (16, 3), (17, 2), (17, 3), (18, 2), (18, 3), (19, 2), (19, 3), (16, 4), (16, 5), (17, 4), (17, 5), (16, 6), (16, 7), (17, 6), (17, 7), (18, 4), (18, 5), (19, 4), (19, 5), (18, 6), (18, 7), (19, 6), (19, 7), (16, 8), (17, 8), (18, 8), (19, 8)]",49
"[18, 14, 24, 20]","[(18, 14), (18, 15), (19, 14), (19, 15), (20, 14), (20, 15), (21, 14), (21, 15), (22, 14), (22, 15), (23, 14), (23, 15), (24, 14), (24, 15), (18, 16), (18, 17), (19, 16), (19, 17), (18, 18), (18, 19), (19, 18), (19, 19), (18, 20), (19, 20), (20, 16), (20, 17), (21, 16), (21, 17), (20, 18), (20, 19), (21, 18), (21, 19), (22, 16), (22, 17), (23, 16), (23, 17), (22, 18), (22, 19), (23, 18), (23, 19), (20, 20), (21, 20), (22, 20), (23, 20), (24, 16), (24, 17), (24, 18), (24, 19), (24, 20)]",49
"[7, 23, 13, 29]","[(7, 23), (7, 24), (7, 25), (7, 26), (7, 27), (7, 28), (7, 29), (8, 23), (9, 23), (10, 23), (11, 23), (12, 23), (13, 23), (8, 24), (8, 25), (9, 24), (9, 25), (8, 26), (8, 27), (9, 26), (9, 27), (10, 24), (10, 25), (11, 24), (11, 25), (10, 26), (10, 27), (11, 26), (11, 27), (8, 28), (8, 29), (9, 28), (9, 29), (10, 28), (10, 29), (11, 28), (11, 29), (12, 24), (12, 25), (13, 24), (13, 25), (12, 26), (12, 27), (13, 26), (13, 27), (12, 28), (12, 29), (13, 28), (13, 29)]",49
"[22, 14, 28, 20]","[(22, 14), (22, 15), (23, 14), (23, 15), (24, 14), (24, 15), (25, 14), (25, 15), (26, 14), (26, 15), (27, 14), (27, 15), (28, 14), (28, 15), (22, 16), (22, 17), (23, 16), (23, 17), (22, 18), (22, 19), (23, 18), (23, 19), (22, 20), (23, 20), (24, 16), (24, 17), (25, 16), (25, 17), (24, 18), (24, 19), (25, 18), (25, 19), (26, 16), (26, 17), (27, 16), (27, 17), (26, 18), (26, 19), (27, 18), (27, 19), (24, 20), (25, 20), (26, 20), (27, 20), (28, 16), (28, 17), (28, 18), (28, 19), (28, 20)]",49
"[16, 25, 22, 31]","[(16, 25), (17, 25), (16, 26), (16, 27), (17, 26), (17, 27), (18, 25), (19, 25), (18, 26), (18, 27), (19, 26), (19, 27), (16, 28), (16, 29), (17, 28), (17, 29), (16, 30), (16, 31), (17, 30), (17, 31), (18, 28), (18, 29), (19, 28), (19, 29), (18, 30), (18, 31), (19, 30), (19, 31), (20, 25), (21, 25), (20, 26), (20, 27), (21, 26), (21, 27), (22, 25), (22, 26), (22, 27), (20, 28), (20, 29), (21, 28), (21, 29), (20, 30), (20, 31), (21, 30), (21, 31), (22, 28), (22, 29), (22, 30), (22, 31)]",49
"[25, 22, 31, 28]","[(25, 22), (25, 23), (26, 22), (26, 23), (27, 22), (27, 23), (28, 22), (28, 23), (29, 22), (29, 23), (30, 22), (30, 23), (31, 22), (31, 23), (25, 24), (25, 25), (25, 26), (25, 27), (26, 24), (26, 25), (27, 24), (27, 25), (26, 26), (26, 27), (27, 26), (27, 27), (25, 28), (26, 28), (27, 28), (28, 24), (28, 25), (29, 24), (29, 25), (28, 26), (28, 27), (29, 26), (29, 27), (30, 24), (30, 25), (31, 24), (31, 25), (30, 26), (30, 27), (31, 26), (31, 27), (28, 28), (29, 28), (30, 28), (31, 28)]",49
"[3, 6, 9, 12]","[(3, 6), (3, 7), (4, 6), (4, 7), (5, 6), (5, 7), (6, 6), (6, 7), (7, 6), (7, 7), (3, 8), (3, 9), (3, 10), (3, 11), (3, 12), (4, 8), (4, 9), (5, 8), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 8), (6, 9), (7, 8), (7, 9), (6, 10), (6, 11), (7, 10), (7, 11), (4, 12), (5, 12), (6, 12), (7, 12), (8, 6), (8, 7), (9, 6), (9, 7), (8, 8), (8, 9), (9, 8), (9, 9), (8, 10), (8, 11), (9, 10), (9, 11), (8, 12), (9, 12)]",49
"[5, 14, 11, 20]","[(5, 14), (5, 15), (6, 14), (6, 15), (7, 14), (7, 15), (8, 14), (8, 15), (9, 14), (9, 15), (10, 14), (10, 15), (11, 14), (11, 15), (5, 16), (5, 17), (5, 18), (5, 19), (6, 16), (6, 17), (7, 16), (7, 17), (6, 18), (6, 19), (7, 18), (7, 19), (5, 20), (6, 20), (7, 20), (8, 16), (8, 17), (9, 16), (9, 17), (8, 18), (8, 19), (9, 18), (9, 19), (10, 16), (10, 17), (11, 16), (11, 17), (10, 18), (10, 19), (11, 18), (11, 19), (8, 20), (9, 20), (10, 20), (11, 20)]",49
"[2, 13, 8, 19]","[(2, 13), (3, 13), (2, 14), (2, 15), (3, 14), (3, 15), (4, 13), (5, 13), (4, 14), (4, 15), (5, 14), (5, 15), (6, 13), (7, 13), (6, 14), (6, 15), (7, 14), (7, 15), (8, 13), (8, 14), (8, 15), (2, 16), (2, 17), (3, 16), (3, 17), (2, 18), (2, 19), (3, 18), (3, 19), (4, 16), (4, 17), (5, 16), (5, 17), (4, 18), (4, 19), (5, 18), (5, 19), (6, 16), (6, 17), (7, 16), (7, 17), (6, 18), (6, 19), (7, 18), (7, 19), (8, 16), (8, 17), (8, 18), (8, 19)]",49
"[20, 12, 26, 18]","[(20, 12), (20, 13), (21, 12), (21, 13), (20, 14), (20, 15), (21, 14), (21, 15), (22, 12), (22, 13), (23, 12), (23, 13), (22, 14), (22, 15), (23, 14), (23, 15), (24, 12), (24, 13), (25, 12), (25, 13), (24, 14), (24, 15), (25, 14), (25, 15), (26, 12), (26, 13), (26, 14), (26, 15), (20, 16), (20, 17), (21, 16), (21, 17), (20, 18), (21, 18), (22, 16), (22, 17), (23, 16), (23, 17), (22, 18), (23, 18), (24, 16), (24, 17), (25, 16), (25, 17), (24, 18), (25, 18), (26, 16), (26, 17), (26, 18)]",49
"[8, 8, 14, 14]","[(8, 8), (8, 9), (9, 8), (9, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (10, 11), (11, 10), (11, 11), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (9, 14), (10, 12), (10, 13), (11, 12), (11, 13), (10, 14), (11, 14), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (12, 11), (13, 10), (13, 11), (14, 8), (14, 9), (14, 10), (14, 11), (12, 12), (12, 13), (13, 12), (13, 13), (12, 14), (13, 14), (14, 12), (14, 13), (14, 14)]",49
"[13, 24, 19, 30]","[(13, 24), (13, 25), (13, 26), (13, 27), (14, 24), (14, 25), (15, 24), (15, 25), (14, 26), (14, 27), (15, 26), (15, 27), (13, 28), (13, 29), (13, 30), (14, 28), (14, 29), (15, 28), (15, 29), (14, 30), (15, 30), (16, 24), (16, 25), (17, 24), (17, 25), (16, 26), (16, 27), (17, 26), (17, 27), (18, 24), (18, 25), (19, 24), (19, 25), (18, 26), (18, 27), (19, 26), (19, 27), (16, 28), (16, 29), (17, 28), (17, 29), (16, 30), (17, 30), (18, 28), (18, 29), (19, 28), (19, 29), (18, 30), (19, 30)]",49
"[24, 11, 30, 17]","[(24, 11), (25, 11), (26, 11), (27, 11), (24, 12), (24, 13), (25, 12), (25, 13), (24, 14), (24, 15), (25, 14), (25, 15), (26, 12), (26, 13), (27, 12), (27, 13), (26, 14), (26, 15), (27, 14), (27, 15), (28, 11), (29, 11), (30, 11), (28, 12), (28, 13), (29, 12), (29, 13), (28, 14), (28, 15), (29, 14), (29, 15), (30, 12), (30, 13), (30, 14), (30, 15), (24, 16), (24, 17), (25, 16), (25, 17), (26, 16), (26, 17), (27, 16), (27, 17), (28, 16), (28, 17), (29, 16), (29, 17), (30, 16), (30, 17)]",49
"[19, 10, 25, 16]","[(19, 10), (19, 11), (19, 12), (19, 13), (19, 14), (19, 15), (20, 10), (20, 11), (21, 10), (21, 11), (22, 10), (22, 11), (23, 10), (23, 11), (20, 12), (20, 13), (21, 12), (21, 13), (20, 14), (20, 15), (21, 14), (21, 15), (22, 12), (22, 13), (23, 12), (23, 13), (22, 14), (22, 15), (23, 14), (23, 15), (24, 10), (24, 11), (25, 10), (25, 11), (24, 12), (24, 13), (25, 12), (25, 13), (24, 14), (24, 15), (25, 14), (25, 15), (19, 16), (20, 16), (21, 16), (22, 16), (23, 16), (24, 16), (25, 16)]",49
"[2, 9, 8, 15]","[(2, 9), (3, 9), (2, 10), (2, 11), (3, 10), (3, 11), (2, 12), (2, 13), (3, 12), (3, 13), (2, 14), (2, 15), (3, 14), (3, 15), (4, 9), (5, 9), (4, 10), (4, 11), (5, 10), (5, 11), (6, 9), (7, 9), (6, 10), (6, 11), (7, 10), (7, 11), (4, 12), (4, 13), (5, 12), (5, 13), (4, 14), (4, 15), (5, 14), (5, 15), (6, 12), (6, 13), (7, 12), (7, 13), (6, 14), (6, 15), (7, 14), (7, 15), (8, 9), (8, 10), (8, 11), (8, 12), (8, 13), (8, 14), (8, 15)]",49
"[0, 15, 6, 21]","[(0, 15), (1, 15), (2, 15), (3, 15), (4, 15), (5, 15), (6, 15), (0, 16), (0, 17), (1, 16), (1, 17), (0, 18), (0, 19), (1, 18), (1, 19), (2, 16), (2, 17), (3, 16), (3, 17), (2, 18), (2, 19), (3, 18), (3, 19), (0, 20), (0, 21), (1, 20), (1, 21), (2, 20), (2, 21), (3, 20), (3, 21), (4, 16), (4, 17), (5, 16), (5, 17), (4, 18), (4, 19), (5, 18), (5, 19), (6, 16), (6, 17), (6, 18), (6, 19), (4, 20), (4, 21), (5, 20), (5, 21), (6, 20), (6, 21)]",49
"[0, 24, 6, 30]","[(0, 24), (0, 25), (1, 24), (1, 25), (0, 26), (0, 27), (1, 26), (1, 27), (2, 24), (2, 25), (3, 24), (3, 25), (2, 26), (2, 27), (3, 26), (3, 27), (0, 28), (0, 29), (1, 28), (1, 29), (0, 30), (1, 30), (2, 28), (2, 29), (3, 28), (3, 29), (2, 30), (3, 30), (4, 24), (4, 25), (5, 24), (5, 25), (4, 26), (4, 27), (5, 26), (5, 27), (6, 24), (6, 25), (6, 26), (6, 27), (4, 28), (4, 29), (5, 28), (5, 29), (4, 30), (5, 30), (6, 28), (6, 29), (6, 30)]",49
"[8, 6, 14, 12]","[(8, 6), (8, 7), (9, 6), (9, 7), (10, 6), (10, 7), (11, 6), (11, 7), (12, 6), (12, 7), (13, 6), (13, 7), (14, 6), (14, 7), (8, 8), (8, 9), (9, 8), (9, 9), (8, 10), (8, 11), (9, 10), (9, 11), (10, 8), (10, 9), (11, 8), (11, 9), (10, 10), (10, 11), (11, 10), (11, 11), (8, 12), (9, 12), (10, 12), (11, 12), (12, 8), (12, 9), (13, 8), (13, 9), (12, 10), (12, 11), (13, 10), (13, 11), (14, 8), (14, 9), (14, 10), (14, 11), (12, 12), (13, 12), (14, 12)]",49
"[24, 12, 30, 18]","[(24, 12), (24, 13), (25, 12), (25, 13), (24, 14), (24, 15), (25, 14), (25, 15), (26, 12), (26, 13), (27, 12), (27, 13), (26, 14), (26, 15), (27, 14), (27, 15), (28, 12), (28, 13), (29, 12), (29, 13), (28, 14), (28, 15), (29, 14), (29, 15), (30, 12), (30, 13), (30, 14), (30, 15), (24, 16), (24, 17), (25, 16), (25, 17), (24, 18), (25, 18), (26, 16), (26, 17), (27, 16), (27, 17), (26, 18), (27, 18), (28, 16), (28, 17), (29, 16), (29, 17), (28, 18), (29, 18), (30, 16), (30, 17), (30, 18)]",49
"[12, 13, 18, 19]","[(12, 13), (13, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 13), (15, 13), (14, 14), (14, 15), (15, 14), (15, 15), (12, 16), (12, 17), (13, 16), (13, 17), (12, 18), (12, 19), (13, 18), (13, 19), (14, 16), (14, 17), (15, 16), (15, 17), (14, 18), (14, 19), (15, 18), (15, 19), (16, 13), (17, 13), (16, 14), (16, 15), (17, 14), (17, 15), (18, 13), (18, 14), (18, 15), (16, 16), (16, 17), (17, 16), (17, 17), (16, 18), (16, 19), (17, 18), (17, 19), (18, 16), (18, 17), (18, 18), (18, 19)]",49
"[24, 20, 30, 26]","[(24, 20), (24, 21), (25, 20), (25, 21), (24, 22), (24, 23), (25, 22), (25, 23), (26, 20), (26, 21), (27, 20), (27, 21), (26, 22), (26, 23), (27, 22), (27, 23), (28, 20), (28, 21), (29, 20), (29, 21), (28, 22), (28, 23), (29, 22), (29, 23), (30, 20), (30, 21), (30, 22), (30, 23), (24, 24), (24, 25), (25, 24), (25, 25), (24, 26), (25, 26), (26, 24), (26, 25), (27, 24), (27, 25), (26, 26), (27, 26), (28, 24), (28, 25), (29, 24), (29, 25), (28, 26), (29, 26), (30, 24), (30, 25), (30, 26)]",49
"[20, 21, 26, 27]","[(20, 21), (21, 21), (20, 22), (20, 23), (21, 22), (21, 23), (22, 21), (23, 21), (22, 22), (22, 23), (23, 22), (23, 23), (20, 24), (20, 25), (21, 24), (21, 25), (20, 26), (20, 27), (21, 26), (21, 27), (22, 24), (22, 25), (23, 24), (23, 25), (22, 26), (22, 27), (23, 26), (23, 27), (24, 21), (25, 21), (24, 22), (24, 23), (25, 22), (25, 23), (26, 21), (26, 22), (26, 23), (24, 24), (24, 25), (25, 24), (25, 25), (24, 26), (24, 27), (25, 26), (25, 27), (26, 24), (26, 25), (26, 26), (26, 27)]",49
"[12, 22, 18, 28]","[(12, 22), (12, 23), (13, 22), (13, 23), (14, 22), (14, 23), (15, 22), (15, 23), (12, 24), (12, 25), (13, 24), (13, 25), (12, 26), (12, 27), (13, 26), (13, 27), (14, 24), (14, 25), (15, 24), (15, 25), (14, 26), (14, 27), (15, 26), (15, 27), (12, 28), (13, 28), (14, 28), (15, 28), (16, 22), (16, 23), (17, 22), (17, 23), (18, 22), (18, 23), (16, 24), (16, 25), (17, 24), (17, 25), (16, 26), (16, 27), (17, 26), (17, 27), (18, 24), (18, 25), (18, 26), (18, 27), (16, 28), (17, 28), (18, 28)]",49
"[26, 1, 32, 7]","[(26, 1), (27, 1), (26, 2), (26, 3), (27, 2), (27, 3), (26, 4), (26, 5), (27, 4), (27, 5), (26, 6), (26, 7), (27, 6), (27, 7), (28, 1), (29, 1), (28, 2), (28, 3), (29, 2), (29, 3), (30, 1), (31, 1), (30, 2), (30, 3), (31, 2), (31, 3), (28, 4), (28, 5), (29, 4), (29, 5), (28, 6), (28, 7), (29, 6), (29, 7), (30, 4), (30, 5), (31, 4), (31, 5), (30, 6), (30, 7), (31, 6), (31, 7)]",42
"[18, 14, 24, 20]","[(18, 14), (18, 15), (19, 14), (19, 15), (20, 14), (20, 15), (21, 14), (21, 15), (22, 14), (22, 15), (23, 14), (23, 15), (24, 14), (24, 15), (18, 16), (18, 17), (19, 16), (19, 17), (18, 18), (18, 19), (19, 18), (19, 19), (18, 20), (19, 20), (20, 16), (20, 17), (21, 16), (21, 17), (20, 18), (20, 19), (21, 18), (21, 19), (22, 16), (22, 17), (23, 16), (23, 17), (22, 18), (22, 19), (23, 18), (23, 19), (20, 20), (21, 20), (22, 20), (23, 20), (24, 16), (24, 17), (24, 18), (24, 19), (24, 20)]",49
"[11, 26, 17, 32]","[(11, 26), (11, 27), (11, 28), (11, 29), (11, 30), (11, 31), (12, 26), (12, 27), (13, 26), (13, 27), (14, 26), (14, 27), (15, 26), (15, 27), (12, 28), (12, 29), (13, 28), (13, 29), (12, 30), (12, 31), (13, 30), (13, 31), (14, 28), (14, 29), (15, 28), (15, 29), (14, 30), (14, 31), (15, 30), (15, 31), (16, 26), (16, 27), (17, 26), (17, 27), (16, 28), (16, 29), (17, 28), (17, 29), (16, 30), (16, 31), (17, 30), (17, 31)]",42
"[18, 4, 24, 10]","[(18, 4), (18, 5), (19, 4), (19, 5), (18, 6), (18, 7), (19, 6), (19, 7), (20, 4), (20, 5), (21, 4), (21, 5), (20, 6), (20, 7), (21, 6), (21, 7), (22, 4), (22, 5), (23, 4), (23, 5), (22, 6), (22, 7), (23, 6), (23, 7), (18, 8), (18, 9), (19, 8), (19, 9), (18, 10), (19, 10), (20, 8), (20, 9), (21, 8), (21, 9), (20, 10), (21, 10), (22, 8), (22, 9), (23, 8), (23, 9), (22, 10), (23, 10), (24, 4), (24, 5), (24, 6), (24, 7), (24, 8), (24, 9), (24, 10)]",49
"[18, 22, 24, 28]","[(18, 22), (18, 23), (19, 22), (19, 23), (20, 22), (20, 23), (21, 22), (21, 23), (22, 22), (22, 23), (23, 22), (23, 23), (18, 24), (18, 25), (19, 24), (19, 25), (18, 26), (18, 27), (19, 26), (19, 27), (18, 28), (19, 28), (20, 24), (20, 25), (21, 24), (21, 25), (20, 26), (20, 27), (21, 26), (21, 27), (22, 24), (22, 25), (23, 24), (23, 25), (22, 26), (22, 27), (23, 26), (23, 27), (20, 28), (21, 28), (22, 28), (23, 28), (24, 22), (24, 23), (24, 24), (24, 25), (24, 26), (24, 27), (24, 28)]",49
"[8, 10, 14, 16]","[(8, 10), (8, 11), (9, 10), (9, 11), (10, 10), (10, 11), (11, 10), (11, 11), (8, 12), (8, 13), (9, 12), (9, 13), (8, 14), (8, 15), (9, 14), (9, 15), (10, 12), (10, 13), (11, 12), (11, 13), (10, 14), (10, 15), (11, 14), (11, 15), (12, 10), (12, 11), (13, 10), (13, 11), (14, 10), (14, 11), (12, 12), (12, 13), (13, 12), (13, 13), (12, 14), (12, 15), (13, 14), (13, 15), (14, 12), (14, 13), (14, 14), (14, 15), (8, 16), (9, 16), (10, 16), (11, 16), (12, 16), (13, 16), (14, 16)]",49
"[26, 0, 32, 6]","[(26, 0), (26, 1), (27, 0), (27, 1), (26, 2), (26, 3), (27, 2), (27, 3), (26, 4), (26, 5), (27, 4), (27, 5), (26, 6), (27, 6), (28, 0), (28, 1), (29, 0), (29, 1), (28, 2), (28, 3), (29, 2), (29, 3), (30, 0), (30, 1), (31, 0), (31, 1), (30, 2), (30, 3), (31, 2), (31, 3), (28, 4), (28, 5), (29, 4), (29, 5), (28, 6), (29, 6), (30, 4), (30, 5), (31, 4), (31, 5), (30, 6), (31, 6)]",42
"[12, 15, 18, 21]","[(12, 15), (13, 15), (14, 15), (15, 15), (12, 16), (12, 17), (13, 16), (13, 17), (12, 18), (12, 19), (13, 18), (13, 19), (14, 16), (14, 17), (15, 16), (15, 17), (14, 18), (14, 19), (15, 18), (15, 19), (12, 20), (12, 21), (13, 20), (13, 21), (14, 20), (14, 21), (15, 20), (15, 21), (16, 15), (17, 15), (18, 15), (16, 16), (16, 17), (17, 16), (17, 17), (16, 18), (16, 19), (17, 18), (17, 19), (18, 16), (18, 17), (18, 18), (18, 19), (16, 20), (16, 21), (17, 20), (17, 21), (18, 20), (18, 21)]",49
"[16, 4, 22, 10]","[(16, 4), (16, 5), (17, 4), (17, 5), (16, 6), (16, 7), (17, 6), (17, 7), (18, 4), (18, 5), (19, 4), (19, 5), (18, 6), (18, 7), (19, 6), (19, 7), (20, 4), (20, 5), (21, 4), (21, 5), (20, 6), (20, 7), (21, 6), (21, 7), (22, 4), (22, 5), (22, 6), (22, 7), (16, 8), (16, 9), (17, 8), (17, 9), (16, 10), (17, 10), (18, 8), (18, 9), (19, 8), (19, 9), (18, 10), (19, 10), (20, 8), (20, 9), (21, 8), (21, 9), (20, 10), (21, 10), (22, 8), (22, 9), (22, 10)]",49
